DEPTH_FT,DEPTH_M,RHOB,DT,GR,Sv_psi,Pp_psi,Pp_hydro_psi,Shmin_psi,SHmax_psi,sigma1_psi,sigma2_psi,sigma3_psi,sigma1_eff,sigma2_eff,sigma3_eff,UCS_psi,UCS_MPa,cohesion_psi,friction_angle_deg,poisson,Sv_ppg,Pp_ppg,Shmin_ppg,SHmax_ppg
3143.5000,958.0900,2.4479,78.1433,152.7048,3279.9741,2416.2310,1.3968,2786.4066,3156.5822,3279.9741,3156.5822,2786.4066,863.7431,740.3512,370.1756,90.3764,0.6231,30.4798,22,0.3000,20.0657,14.7816,17.0462,19.3108
3144.0000,958.2400,2.4390,78.1464,148.9081,3280.4954,2416.8367,1.3970,2786.9762,3157.1156,3280.4954,3157.1156,2786.9762,863.6586,740.2788,370.1394,90.3658,0.6230,30.4763,22,0.3000,20.0657,14.7830,17.0470,19.3110
3144.5000,958.4000,2.4248,81.9115,150.2787,3281.0488,2531.0719,1.3972,2852.4906,3173.9093,3281.0488,3173.9093,2852.4906,749.9769,642.8373,321.4187,78.7276,0.5428,26.5512,22,0.3000,20.0659,15.4792,17.4449,19.4106
3145.0000,958.5500,2.4418,86.9739,149.6793,3281.5680,2655.0629,1.3975,2923.5651,3192.0672,3281.5680,3192.0672,2923.5651,626.5051,537.0044,268.5022,66.0417,0.4553,22.2728,22,0.3000,20.0658,16.2349,17.8768,19.5186
3145.5000,958.7000,2.4599,97.5684,155.0740,3282.0909,2838.3052,1.3977,3028.4990,3218.6929,3282.0909,3218.6929,3028.4990,443.7857,380.3877,190.1939,47.1576,0.3251,15.9041,22,0.3000,20.0659,17.3527,18.5155,19.6783
3146.0000,958.8500,2.4751,69.0017,153.4760,3282.6173,2027.9420,1.3979,2565.6600,3103.3780,3282.6173,3103.3780,2565.6600,1254.6753,1075.4360,537.7180,130.1273,0.8972,43.8860,22,0.3000,20.0659,12.3963,15.6833,18.9702
3146.5000,959.0100,2.4838,54.9438,159.6696,3283.1816,797.9349,1.3981,1863.0406,2928.1463,3283.1816,2928.1463,1863.0406,2485.2467,2130.2114,1065.1057,253.6681,1.7490,85.5506,22,0.3000,20.0661,4.8768,11.3865,17.8962
3147.0000,959.1600,2.4904,67.7943,167.7760,3283.7122,1960.7226,1.3984,2527.7181,3094.7137,3283.7122,3094.7137,2527.7181,1322.9896,1133.9911,566.9955,137.0350,0.9448,46.2156,22,0.3000,20.0662,11.9816,15.4464,18.9113
3147.5000,959.3100,2.4949,72.9486,164.9498,3284.2440,2222.3146,1.3986,2677.4272,3132.5398,3284.2440,3132.5398,2677.4272,1061.9294,910.2252,455.1126,110.5574,0.7623,37.2860,22,0.3000,20.0663,13.5780,16.3587,19.1394
3148.0000,959.4600,2.4814,70.9719,160.7539,3284.7748,2131.5934,1.3988,2625.8140,3120.0346,3284.7748,3120.0346,2625.8140,1153.1814,988.4412,494.2206,119.8242,0.8262,40.4112,22,0.3000,20.0663,13.0217,16.0408,19.0599
3148.5000,959.6200,2.4709,70.1369,156.1865,3285.3383,2090.4373,1.3990,2602.5378,3114.6382,3285.3383,3114.6382,2602.5378,1194.9010,1024.2009,512.1004,124.0521,0.8553,41.8371,22,0.3000,20.0666,12.7682,15.8961,19.0239
3149.0000,959.7700,2.4560,72.7125,159.7830,3285.8639,2213.4706,1.3992,2673.0678,3132.6649,3285.8639,3132.6649,2673.0678,1072.3933,919.1942,459.5971,111.6126,0.7695,37.6418,22,0.3000,20.0666,13.5175,16.3243,19.1310
3149.5000,959.9200,2.4579,78.4379,169.9733,3286.3881,2432.0831,1.3995,2798.2138,3164.3445,3286.3881,3164.3445,2798.2138,854.3050,732.2614,366.1307,89.3854,0.6163,30.1456,22,0.3000,20.0666,14.8502,17.0858,19.3214
3150.0000,960.0700,2.4675,89.6345,168.4319,3286.9135,2714.4144,1.3997,2959.7712,3205.1279,3286.9135,3205.1279,2959.7712,572.4991,490.7135,245.3568,60.4610,0.4169,20.3907,22,0.3000,20.0666,16.5715,18.0694,19.5673
3150.5000,960.2300,2.4741,85.2041,172.4282,3287.4758,2620.9247,1.3999,2906.5895,3192.2542,3287.4758,3192.2542,2906.5895,666.5511,571.3295,285.6648,70.1420,0.4836,23.6557,22,0.3000,20.0669,15.9982,17.7419,19.4856
3151.0000,960.3800,2.4754,81.8413,170.8297,3288.0038,2535.8488,1.4001,2858.2009,3180.5531,3288.0038,3180.5531,2858.2009,752.1550,644.7043,322.3521,78.9256,0.5442,26.6180,22,0.3000,20.0669,15.4765,17.4438,19.4111
3151.5000,960.5300,2.4651,77.9832,173.6273,3288.5308,2419.1070,1.4003,2791.7172,3164.3274,3288.5308,3164.3274,2791.7172,869.4239,745.2205,372.6102,90.9211,0.6269,30.6635,22,0.3000,20.0669,14.7616,17.0353,19.3090
3152.0000,960.6800,2.4653,86.1626,176.2238,3289.0568,2644.4602,1.4006,2920.7159,3196.9716,3289.0568,3196.9716,2920.7159,644.5966,552.5114,276.2557,67.8803,0.4680,22.8929,22,0.3000,20.0670,16.1342,17.8197,19.5051
3152.5000,960.8400,2.4692,77.7938,176.6805,3289.6183,2413.7803,1.4008,2789.1394,3164.4985,3289.6183,3164.4985,2789.1394,875.8380,750.7183,375.3591,91.5712,0.6314,30.8828,22,0.3000,20.0672,14.7245,17.0142,19.3040
3153.0000,960.9900,2.4779,73.3242,173.0845,3290.1460,2244.1582,1.4010,2692.4387,3140.7192,3290.1460,3140.7192,2692.4387,1045.9878,896.5609,448.2805,108.9063,0.7509,36.7291,22,0.3000,20.0672,13.6876,16.4217,19.1559
3153.5000,961.1400,2.4754,79.8286,175.0824,3290.6744,2480.0811,1.4012,2827.4782,3174.8753,3290.6744,3174.8753,2827.4782,810.5933,694.7943,347.3971,84.8991,0.5854,28.6326,22,0.3000,20.0673,15.1241,17.2426,19.3611
3154.0000,961.2900,2.4647,83.6379,173.2550,3291.2014,2586.3802,1.4015,2888.4464,3190.5126,3291.2014,3190.5126,2888.4464,704.8212,604.1325,302.0662,74.0605,0.5106,24.9772,22,0.3000,20.0673,15.7698,17.6116,19.4534
3154.5000,961.4400,2.4600,87.9334,170.4578,3291.7267,2685.2191,1.4017,2945.1509,3205.0828,3291.7267,3205.0828,2945.1509,606.5076,519.8637,259.9318,63.9524,0.4409,21.5682,22,0.3000,20.0673,16.3699,17.9545,19.5391
3155.0000,961.6000,2.4504,84.6169,167.2612,3292.2855,2611.6095,1.4019,2903.3277,3195.0460,3292.2855,3195.0460,2903.3277,680.6760,583.4366,291.7183,71.5778,0.4935,24.1399,22,0.3000,20.0676,15.9186,17.6967,19.4749
3155.5000,961.7500,2.4437,80.5226,162.9234,3292.8075,2502.9160,1.4021,2841.4409,3179.9659,3292.8075,3179.9659,2841.4409,789.8916,677.0499,338.5250,82.7730,0.5707,27.9155,22,0.3000,20.0676,15.2537,17.3168,19.3799
3156.0000,961.9000,2.4463,79.9462,160.7254,3293.3292,2486.2124,1.4023,2832.1196,3178.0268,3293.3292,3178.0268,2832.1196,807.1168,691.8144,345.9072,84.5337,0.5828,28.5094,22,0.3000,20.0676,15.1495,17.2572,19.3650
3156.5000,962.0500,2.4726,84.0708,151.8198,3293.8539,2599.7832,1.4026,2897.2421,3194.7009,3293.8539,3194.7009,2897.2421,694.0707,594.9177,297.4589,72.9486,0.5030,24.6022,22,0.3000,20.0676,15.8390,17.6513,19.4635
3157.0000,962.2100,2.4981,78.5757,155.5308,3294.4195,2444.2818,1.4028,2808.6265,3172.9713,3294.4195,3172.9713,2808.6265,850.1377,728.6894,364.3447,88.9269,0.6131,29.9910,22,0.3000,20.0679,14.8893,17.1087,19.3281
3157.5000,962.3600,2.4757,76.1355,156.9291,3294.9501,2360.4000,1.4030,2760.9215,3161.4429,3294.9501,3161.4429,2760.9215,934.5501,801.0429,400.5215,97.5387,0.6725,32.8954,22,0.3000,20.0679,14.3760,16.8154,19.2548
3158.0000,962.5100,2.4671,75.9441,169.4892,3295.4773,2353.8225,1.4032,2757.3888,3160.9552,3295.4773,3160.9552,2757.3888,941.6549,807.1328,403.5664,98.2608,0.6775,33.1389,22,0.3000,20.0679,14.3337,16.7912,19.2488
3158.5000,962.6600,2.4682,83.3216,171.0868,3296.0038,2582.9691,1.4035,2888.5554,3194.1417,3296.0038,3194.1417,2888.5554,713.0347,611.1726,305.5863,74.8872,0.5163,25.2560,22,0.3000,20.0680,15.7266,17.5872,19.4478
3159.0000,962.8200,2.5042,81.3971,179.5358,3296.5696,2531.7281,1.4037,2859.5173,3187.3065,3296.5696,3187.3065,2859.5173,764.8415,655.5784,327.7892,80.1943,0.5529,27.0459,22,0.3000,20.0682,15.4122,17.4076,19.4031
3159.5000,962.9700,2.5094,82.7027,178.6788,3297.1044,2567.8991,1.4039,2880.4157,3192.9323,3297.1044,3192.9323,2880.4157,729.2053,625.0331,312.5166,76.5411,0.5277,25.8138,22,0.3000,20.0683,15.6299,17.5321,19.4343
3160.0000,963.1200,2.5073,82.7812,177.4801,3297.6396,2570.4889,1.4041,2882.1249,3193.7609,3297.6396,3193.7609,2882.1249,727.1507,623.2720,311.6360,76.3287,0.5263,25.7422,22,0.3000,20.0684,15.6432,17.5397,19.4362
3160.5000,963.2700,2.4751,87.8161,171.0290,3298.1711,2689.0448,1.4043,2950.0989,3211.1531,3298.1711,3211.1531,2950.0989,609.1263,522.1083,261.0541,64.2030,0.4427,21.6527,22,0.3000,20.0685,16.3621,17.9505,19.5390
3161.0000,963.4300,2.4528,95.7790,160.8392,3298.7318,2829.2347,1.4046,3030.4478,3231.6608,3298.7318,3231.6608,3030.4478,469.4971,402.4261,201.2131,49.7858,0.3433,16.7905,22,0.3000,20.0687,17.2124,18.4365,19.6607
3161.5000,963.5800,2.4381,91.8961,158.5560,3299.2536,2767.6823,1.4048,2995.4986,3223.3148,3299.2536,3223.3148,2995.4986,531.5713,455.6325,227.8163,56.2040,0.3875,18.9550,22,0.3000,20.0687,16.8353,18.2210,19.6068
3162.0000,963.7300,2.4609,85.3102,164.9500,3299.7762,2635.3314,1.4050,2920.0935,3204.8555,3299.7762,3204.8555,2920.0935,664.4447,569.5240,284.7620,69.8867,0.4819,23.5696,22,0.3000,20.0687,16.0277,17.7595,19.4914
3162.5000,963.8800,2.4739,86.8213,168.2328,3300.3026,2669.9372,1.4052,2940.0938,3210.2504,3300.3026,3210.2504,2940.0938,630.3654,540.3132,270.1566,66.3823,0.4577,22.3877,22,0.3000,20.0687,16.2356,17.8783,19.5211
3163.0000,964.0400,2.4918,89.1282,161.9242,3300.8676,2718.1738,1.4055,2967.8997,3217.6256,3300.8676,3217.6256,2967.8997,582.6938,499.4518,249.7259,61.4728,0.4238,20.7320,22,0.3000,20.0690,16.5263,18.0446,19.5629
3163.5000,964.1900,2.4760,88.0404,151.7341,3301.3976,2696.8232,1.4057,2955.9265,3215.0298,3301.3976,3215.0298,2955.9265,604.5743,518.2066,259.1033,63.7249,0.4394,21.4915,22,0.3000,20.0690,16.3939,17.9689,19.5440
3164.0000,964.3400,2.4590,88.5193,142.1438,3301.9240,2707.0962,1.4059,2962.0224,3216.9486,3301.9240,3216.9486,2962.0224,594.8278,509.8524,254.9262,62.7200,0.4324,21.1526,22,0.3000,20.0691,16.4537,18.0032,19.5526
3164.5000,964.4900,2.4158,90.2186,148.7379,3302.4440,2740.5874,1.4061,2981.3831,3222.1788,3302.4440,3222.1788,2981.3831,561.8567,481.5914,240.7957,59.3212,0.4090,20.0063,22,0.3000,20.0691,16.6546,18.1180,19.5813
3165.0000,964.6400,2.4000,91.5938,158.1290,3302.9577,2766.0208,1.4063,2996.1366,3226.2525,3302.9577,3226.2525,2996.1366,536.9370,460.2317,230.1158,56.7492,0.3913,19.1389,22,0.3000,20.0690,16.8065,18.2047,19.6029
3165.5000,964.8000,2.4142,93.1981,167.4905,3303.5055,2793.8079,1.4066,3012.2498,3230.6916,3303.5055,3230.6916,3012.2498,509.6976,436.8837,218.4418,53.9343,0.3719,18.1896,22,0.3000,20.0692,16.9727,18.2998,19.6268
3166.0000,964.9500,2.4536,89.2449,169.6880,3304.0248,2723.5384,1.4068,2972.3183,3221.0982,3304.0248,3221.0982,2972.3183,580.4864,497.5597,248.7799,61.2376,0.4222,20.6526,22,0.3000,20.0692,16.5432,18.0543,19.5654
3166.5000,965.1000,2.4765,93.2272,163.4653,3304.5507,2795.3094,1.4070,3013.5557,3231.8020,3304.5507,3231.8020,3013.5557,509.2413,436.4926,218.2463,53.8850,0.3715,18.1729,22,0.3000,20.0692,16.9765,18.3019,19.6274
3167.0000,965.2500,2.4789,97.5826,167.6038,3305.0793,2861.0168,1.4072,3051.3293,3241.6418,3305.0793,3241.6418,3051.3293,444.0625,380.6250,190.3125,47.1375,0.3250,15.8973,22,0.3000,20.0692,17.3728,18.5284,19.6840
3167.5000,965.4100,2.4707,103.4427,171.2862,3305.6425,2932.8425,1.4075,3092.6140,3252.3854,3305.6425,3252.3854,3092.6140,372.8000,319.5429,159.7714,39.7335,0.2740,13.4003,22,0.3000,20.0695,17.8061,18.7761,19.7461
3168.0000,965.5600,2.4789,102.0212,176.5097,3306.1705,2917.5607,1.4077,3084.1078,3250.6549,3306.1705,3250.6549,3084.1078,388.6098,333.0941,166.5471,41.3775,0.2853,13.9548,22,0.3000,20.0695,17.7105,18.7215,19.7325
3168.5000,965.7100,2.4715,91.9206,169.9163,3306.6986,2775.3787,1.4079,3003.0873,3230.7958,3306.6986,3230.7958,3003.0873,531.3199,455.4170,227.7085,56.1601,0.3872,18.9402,22,0.3000,20.0695,16.8448,18.2268,19.6089
3169.0000,965.8600,2.4556,85.6115,167.6328,3307.2242,2649.5550,1.4081,2931.4132,3213.2715,3307.2242,3213.2715,2931.4132,657.6693,563.7165,281.8583,69.1685,0.4769,23.3274,22,0.3000,20.0696,16.0786,17.7890,19.4994
3169.5000,966.0200,2.4375,83.6236,162.6379,3307.7810,2602.0640,1.4084,2904.5141,3206.9643,3307.7810,3206.9643,2904.5141,705.7170,604.9003,302.4502,74.0976,0.5109,24.9897,22,0.3000,20.0698,15.7879,17.6230,19.4581
